time,open,high,low,close,date,time_str
1738825175000,1738825177418,1738825177418,1738825177418,1738825177418,2025-02-06,06:59:35.000Z
1738825180000,1738825180241,1738825180241,1738825180241,1738825180241,2025-02-06,06:59:40.000Z
1738825180000,1738825181631,1738825184756,1738825181631,1738825184756,2025-02-06,06:59:40.000Z
1738825185000,1738825186000,1738825189905,1738825186000,1738825189905,2025-02-06,06:59:45.000Z
1738825190000,1738825190925,1738825190925,1738825190925,1738825190925,2025-02-06,06:59:50.000Z
1738825190000,1738825191952,1738825193982,1738825191952,1738825193982,2025-02-06,06:59:50.000Z
1738825195000,1738825196531,1738825199982,1738825196531,1738825199982,2025-02-06,06:59:55.000Z
1738825200000,1738825202003,1738825204867,1738825202003,1738825204867,2025-02-06,07:00:00.000Z
1738825205000,1738825206843,1738825208877,1738825206843,1738825208877,2025-02-06,07:00:05.000Z
1738825210000,1738825210130,1738825210130,1738825210130,1738825210130,2025-02-06,07:00:10.000Z
1738825210000,1738825211634,1738825214674,1738825211634,1738825214674,2025-02-06,07:00:10.000Z
1738825215000,1738825215786,1738825215786,1738825215786,1738825215786,2025-02-06,07:00:15.000Z
1738825215000,1738825217633,1738825219722,1738825217633,1738825219722,2025-02-06,07:00:15.000Z
1738825220000,1738825221005,1738825224906,1738825221005,1738825224906,2025-02-06,07:00:20.000Z
1738825225000,1738825226440,1738825229703,1738825226440,1738825229703,2025-02-06,07:00:25.000Z
1738825230000,1738825231457,1738825234940,1738825231457,1738825234940,2025-02-06,07:00:30.000Z
1738825235000,1738825236333,1738825239035,1738825236333,1738825239035,2025-02-06,07:00:35.000Z
1738825240000,1738825240049,1738825240049,1738825240049,1738825240049,2025-02-06,07:00:40.000Z
1738825240000,1738825241398,1738825244900,1738825241398,1738825244900,2025-02-06,07:00:40.000Z
1738825245000,1738825246864,1738825249347,1738825246864,1738825249347,2025-02-06,07:00:45.000Z
1738825250000,1738825250350,1738825250350,1738825250350,1738825250350,2025-02-06,07:00:50.000Z
1738825250000,1738825251630,1738825254667,1738825251630,1738825254667,2025-02-06,07:00:50.000Z
1738825255000,1738825255679,1738825255679,1738825255679,1738825255679,2025-02-06,07:00:55.000Z
1738825255000,1738825256695,1738825259732,1738825256695,1738825259732,2025-02-06,07:00:55.000Z
1738825260000,1738825261002,1738825264569,1738825261002,1738825264569,2025-02-06,07:01:00.000Z
1738825265000,1738825266043,1738825269655,1738825266043,1738825269655,2025-02-06,07:01:05.000Z
1738825270000,1738825270700,1738825270700,1738825270700,1738825270700,2025-02-06,07:01:10.000Z
1738825270000,1738825272400,1738825274692,1738825272400,1738825274692,2025-02-06,07:01:10.000Z
1738825275000,1738825275694,1738825275694,1738825275694,1738825275694,2025-02-06,07:01:15.000Z
1738825275000,1738825276906,1738825279635,1738825276906,1738825279635,2025-02-06,07:01:15.000Z
1738825280000,1738825280639,1738825280639,1738825280639,1738825280639,2025-02-06,07:01:20.000Z
1738825280000,1738825281647,1738825284774,1738825281647,1738825284774,2025-02-06,07:01:20.000Z
1738825285000,1738825285930,1738825285930,1738825285930,1738825285930,2025-02-06,07:01:25.000Z
1738825285000,1738825288019,1738825289045,1738825288019,1738825289045,2025-02-06,07:01:25.000Z
1738825290000,1738825290512,1738825290512,1738825290512,1738825290512,2025-02-06,07:01:30.000Z
1738825290000,1738825291995,1738825293914,1738825291995,1738825293914,2025-02-06,07:01:30.000Z
1738825295000,1738825295176,1738825295176,1738825295176,1738825295176,2025-02-06,07:01:35.000Z
1738825295000,1738825297130,1738825298610,1738825297130,1738825298610,2025-02-06,07:01:35.000Z
1738825300000,1738825300367,1738825300367,1738825300367,1738825300367,2025-02-06,07:01:40.000Z
1738825300000,1738825301385,1738825304907,1738825301385,1738825304907,2025-02-06,07:01:40.000Z
1738825305000,1738825306245,1738825309619,1738825306245,1738825309619,2025-02-06,07:01:45.000Z
1738825310000,1738825311367,1738825313672,1738825311367,1738825313672,2025-02-06,07:01:50.000Z
1738825315000,1738825315004,1738825315004,1738825315004,1738825315004,2025-02-06,07:01:55.000Z
1738825315000,1738825316019,1738825319048,1738825316019,1738825319048,2025-02-06,07:01:55.000Z
1738825320000,1738825320121,1738825320121,1738825320121,1738825320121,2025-02-06,07:02:00.000Z
1738825320000,1738825322482,1738825324766,1738825322482,1738825324766,2025-02-06,07:02:00.000Z
1738825325000,1738825326332,1738825329365,1738825326332,1738825329365,2025-02-06,07:02:05.000Z
1738825330000,1738825330582,1738825330582,1738825330582,1738825330582,2025-02-06,07:02:10.000Z
1738825330000,1738825331602,1738825334424,1738825331602,1738825334424,2025-02-06,07:02:10.000Z
1738825335000,1738825335436,1738825335436,1738825335436,1738825335436,2025-02-06,07:02:15.000Z
1738825335000,1738825337127,1738825339516,1738825337127,1738825339516,2025-02-06,07:02:15.000Z
1738825340000,1738825341257,1738825344547,1738825341257,1738825344547,2025-02-06,07:02:20.000Z
1738825345000,1738825345836,1738825345836,1738825345836,1738825345836,2025-02-06,07:02:25.000Z
1738825345000,1738825347198,1738825349319,1738825347198,1738825349319,2025-02-06,07:02:25.000Z
1738825350000,1738825350700,1738825350700,1738825350700,1738825350700,2025-02-06,07:02:30.000Z
1738825350000,1738825352190,1738825354528,1738825352190,1738825354528,2025-02-06,07:02:30.000Z
1738825355000,1738825356195,1738825359574,1738825356195,1738825359574,2025-02-06,07:02:35.000Z
1738825360000,1738825360581,1738825360581,1738825360581,1738825360581,2025-02-06,07:02:40.000Z
1738825360000,1738825361843,1738825364345,1738825361843,1738825364345,2025-02-06,07:02:40.000Z
1738825365000,1738825365374,1738825365374,1738825365374,1738825365374,2025-02-06,07:02:45.000Z
